Test Suite ID,Test Case ID,Priority,Module,Summary,Preconditions,Test data,Steps,Expected Result,Remarks
Функциональные проверки,,,,,,,,,
TS-01,TC-01,High,Форма авторизации,Успешная авторизация пользователя с использованием валидных данных,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"":
    
2. Поле ""Пароль"":
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь авторизован в систему. Отображен личный кабинет пользователя",
TS-02,TC-02,,,Неуспешная авторизация пользователя с ипользованием невалидным данных,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе",,"1. Ввести значение из тестовых 
данных в поле ""Логин""; 
2. Ввести значение из тестовых 
данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь не авторизован в систему. Отображается сообщение об ошибке ""Указан неверный логин/пароль""",
TS-05,TC-05,,,Неуспешная авторизация пользователя c незаполненными полями,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе",,"1. Оставить пустым поле ""Логин""; 
2. Оставить пустым поле ""Пароль"";
3. Нажать кнопку ""Sign in""
","1.  Поле ""Логин"" пусто;
2. Поле  ""Пароль"" пусто;
3. Пользователь не авторизован в систему. Отображается сообщение об ошибке ""заполните обязательные поля""",
TS-06,TC-06,,,Неуспешная авторизация незарегистрированного пользователя,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь не зарегистрирован в системе",,"1. Ввести значение из тестовых 
данных в поле ""Логин""; 
2. Ввести значение из тестовых 
данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь не авторизован в систему. Отображается сообщение об ошибке ""Пользователь не зарегистрирован""",
TS-07,TC-07,,,"Неуспешная авторизация пользователя с незаполненным полем ""Пароль""","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь  зарегистрирован в системе",,"1. Ввести значение из тестовых 
данных в поле ""Логин""; 
2. Оставить пустым поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Поле ""Пароль""пустое;
3. Пользователь не авторизован в систему. Отображается сообщение об ошибке ""заполните обязательное поле ""Пароль""",
TS-08,TC-08,,,"Неуспешная авторизация пользователя с незаполненным полем ""логин""","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь  зарегистрирован в системе",,"1.Оставить пустым поле ""Логин""; 
2. Ввести значение из тестовых 
данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Пароль"";
2. Поле ""Логин""пустое;
3. Пользователь не авторизован в систему. Отображается сообщение об ошибке ""заполните обязательное поле ""Логин""",
TS-10,TC-10,,,"Неуспешная авторизация пользователя с  невалидными данными в поле ""Логин""","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь  зарегистрирован в системе",,"1. Ввести невалидное значение в поле ""Логин""; 
2. Ввести значение из тестовых 
данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь не авторизован в систему. Отображается сообщение об ошибке ""Невалидные данные в поле ""Логин""",
TS-11,TC-11,,,"Неуспешная авторизация пользователя с  невалидными данными в поле ""Пароль""","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь  зарегистрирован в системе",,"1. 
Ввести значение из тестовых 
данных в поле ""Логин""; 
2. Ввести невалидное  значение в  поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь не авторизован в систему. Отображается сообщение об ошибке ""Невалидные данные в поле ""Пароль""",
TS-12,TC-12,,,Неуспешная авторизация заблокированного пользователя,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь  зарегистрирован в системе",,"1. 
Ввести данные заблокированного пользователя в поле ""Логин""; 
2. Ввести данные заблокированного пользователя вполе ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь не авторизован в систему. Отображается сообщение об ошибке ""Пользователь заблокирован""",
Нефункциональные проверки,,,,,,,,,
Тестирование пользовательского интерфейса,,,,,,,,,
,ТС-14,Low,Форма авторизации,"Кнопка ""Sign in"" меняет цвет при наведении курсора ","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя","1. Поле ""Логин"":
    
2. Поле ""Пароль"":","1. Навести курсор на кнопку ""Sign in""","1. Цвет кнопки ""Sign in"" изменен",
,ТС-15,,,"Кнопка ""Sign in"" меняет цвет при заполении полей","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,"1. Заполнить поля ""логин"" и ""пароль""","1. Цвет кнопки ""Sign in"" изменен",
